time,S,I,R
15.931065244350295,664,204,132
15.931476264360388,663,205,132
15.947315428814722,662,206,132
15.953456542931594,661,207,132
15.98929848484551,660,208,132
15.99597960841674,660,207,133
16.019059815748818,659,208,133
16.02693732914002,658,209,133
16.030503825769134,657,210,133
16.03697751774901,656,211,133
16.049174820598747,656,210,134
16.10007560663608,655,211,134
16.10692181512427,655,210,135
16.144985759061093,655,209,136
16.18835742028571,654,210,136
16.190083626501483,654,209,137
16.217004346198024,654,208,138
16.219318119230838,653,209,138
16.227697394579675,652,210,138
16.240944333803778,651,211,138
16.273711950988762,650,212,138
16.28609540049138,650,211,139
16.301934400528427,649,212,139
16.33978048141227,648,213,139
16.345382218434466,647,214,139
16.358715169176712,647,213,140
16.36938845122249,646,214,140
16.371074988788802,645,215,140
16.404380503747728,645,214,141
16.425642516015383,645,213,142
16.426722656111316,644,214,142
16.439772815644137,643,215,142
16.445327708826852,642,216,142
16.448846192595315,641,217,142
16.452837763802993,640,218,142
16.453322692982084,640,217,143
16.45939282855749,639,218,143
16.485215166385906,638,219,143
16.49770998873857,637,220,143
16.515055515861736,636,221,143
16.541517626104746,635,222,143
16.55448011541292,635,221,144
16.55597864006998,634,222,144
16.57919898945435,633,223,144
16.579617819304595,632,224,144
16.582780570038835,631,225,144
16.59863783320675,630,226,144
16.600402508035543,629,227,144
16.61568297510706,628,228,144
16.628293286741027,627,229,144
16.631658300126873,626,230,144
16.660600955830493,625,231,144
16.669866175993374,625,230,145
16.706266474398394,624,231,145
16.70693211450767,623,232,145
16.733075699521365,623,231,146
16.743154488612596,622,232,146
16.744417188282135,622,231,147
16.757054339662858,621,232,147
16.78021452591348,620,233,147
16.788651124576326,619,234,147
16.80057099270758,619,233,148
16.80371548782825,619,232,149
16.808954067957412,618,233,149
16.828892821430376,617,234,149
16.866512969387074,617,233,150
16.879420074495165,616,234,150
16.896540656396187,615,235,150
16.93279425450661,615,234,151
16.933397586045047,614,235,151
16.940973690776463,613,236,151
16.942678141096536,612,237,151
16.975513504144157,611,238,151
16.978463164335157,610,239,151
16.985693684642087,610,238,152
17.0160174036493,609,239,152
17.02602066762363,609,238,153
17.046244666899295,608,239,153
17.04889374712024,608,238,154
17.05873941757062,608,237,155
17.117609218522905,607,238,155
17.124262436401782,607,237,156
17.12766081120503,606,238,156
17.132262820855846,605,239,156
17.14827484837683,605,238,157
17.17381541648915,604,239,157
17.19318879775862,603,240,157
17.19848846770607,603,239,158
17.23429376274873,603,238,159
17.24296691712552,603,237,160
17.251807163114307,603,236,161
17.26518791285018,602,237,161
17.288232304906554,601,238,161
17.324990785054773,601,237,162
17.32867001861524,600,238,162
17.356866960795575,599,239,162
17.361826583205637,599,238,163
17.382114338816006,599,237,164
17.410980665510355,598,238,164
17.416116659690815,598,237,165
17.42912691481479,597,238,165
17.459259884403828,596,239,165
17.460525395834456,595,240,165
17.465546923125608,595,239,166
17.47296989736248,595,238,167
17.54759570317093,594,239,167
17.550217708164386,594,238,168
17.55185490680166,593,239,168
17.552535577422745,593,238,169
17.56073668264441,593,237,170
17.573519098824644,592,238,170
17.582420343335553,591,239,170
17.590782879253865,590,240,170
17.596539387493703,590,239,171
17.60381503770577,590,238,172
17.61281229024582,589,239,172
17.626612034761855,588,240,172
17.638901566916612,587,241,172
17.661010296071815,586,242,172
17.66450361440402,585,243,172
17.679981603302025,585,242,173
17.683921855307542,584,243,173
17.686381451379958,584,242,174
17.705664558925537,584,241,175
17.718187961815715,584,240,176
17.71933034990282,584,239,177
17.730407927741688,583,240,177
17.736440622944567,582,241,177
17.757356574864883,581,242,177
17.765432025788783,581,241,178
17.76882388149979,580,242,178
17.77014063804379,580,241,179
17.79362621639567,579,242,179
17.795285807944698,579,241,180
17.801849317182306,578,242,180
17.8142290563716,577,243,180
17.831678595144968,577,242,181
17.831692621194918,577,241,182
17.842547825460983,576,242,182
17.848209442394595,575,243,182
17.85100182721959,574,244,182
17.85122771146779,574,243,183
17.861910419026746,573,244,183
17.876353906044653,572,245,183
17.912296786683203,571,246,183
17.919633857835205,570,247,183
17.928494690376134,569,248,183
17.94899565795592,568,249,183
18.032263134436,568,248,184
18.055071062697326,567,249,184
18.05606511527653,567,248,185
18.05711897250373,567,247,186
18.076823247094488,566,248,186
18.078164022120276,566,247,187
18.08132106363875,565,248,187
18.084288987036867,564,249,187
18.092327459702613,564,248,188
18.1015816545517,563,249,188
18.12731052760119,562,250,188
18.154067929942173,561,251,188
18.157915829189974,560,252,188
18.171750245507525,559,253,188
18.17259625416691,558,254,188
18.175438779070586,558,253,189
18.213672639367864,558,252,190
18.21933091445355,557,253,190
18.22895127962807,557,252,191
18.231792855787102,556,253,191
18.245997398053575,555,254,191
18.24864877082933,555,253,192
18.26806699728743,554,254,192
18.275035232012325,554,253,193
18.367280641018862,553,254,193
18.382160968423122,552,255,193
18.383858573654233,552,254,194
18.39599251561844,551,255,194
18.39970254292174,551,254,195
18.402368621739054,550,255,195
18.40992580784892,549,256,195
18.435536609760565,548,257,195
18.468109375689288,547,258,195
18.48569450240171,546,259,195
